Channel Name,Impressions,Programme,Rank,Week,Genere,Languages
Colors Gujarati,118,GFF-BHAGAT GORA KUMBHAR,3,18,gujarati,Gujarati
Colors Gujarati,99,GFF-BABA RAMDEV,4,18,gujarati,Gujarati
Colors Gujarati,88,NARSINH MEHTA,5,18,gujarati,Gujarati
DD National,31535,UTTAR RAMAYAN,1,18,hindi GEC rural,Hindi
Dangal,12481,BABA AISO VAR DHUNDO,2,18,hindi GEC rural,Hindi
DD National,11557,SHRI KRISHNA,3,18,hindi GEC rural,Hindi
Dangal,10261,MAHIMA SHANIDEV KI,4,18,hindi GEC rural,Hindi
DD Bharati,9074,MAHABHARAT,5,18,hindi GEC rural,Hindi
DD National,36273,UTTAR RAMAYAN,1,18,hindi GEC urban,Hindi
DD Bharati,13214,MAHABHARAT,2,18,hindi GEC urban,Hindi
DD National,12784,SHRI KRISHNA,3,18,hindi GEC urban,Hindi
STAR Plus,7826,MAHABHARAT,4,18,hindi GEC urban,Hindi
STAR Plus,4028,DEVON KE DEV MAHADEV,5,18,hindi GEC urban,Hindi
DD National,67808,UTTAR RAMAYAN,1,18,hindi GEC,Hindi
DD National,24340,SHRI KRISHNA,2,18,hindi GEC,Hindi
DD Bharati,22287,MAHABHARAT,3,18,hindi GEC,Hindi
Dangal,15807,BABA AISO VAR DHUNDO,4,18,hindi GEC,Hindi
Dangal,13268,MAHIMA SHANIDEV KI,5,18,hindi GEC,Hindi
STAR Gold,2953,HFF-WAR,1,18,hindi movies rural,Hindi
Zee Cinema,2358,HFF-K3 KAALI KA KARISHMA,2,18,hindi movies rural,Hindi
STAR Gold,2279,HFF-HOUSEFULL 4,3,18,hindi movies rural,Hindi
STAR Gold,2022,HFF-TOTAL DHAMAAL,4,18,hindi movies rural,Hindi
B4U Kadak,1910,HFF-HO GAYA TOTAL SIYAPAA,5,18,hindi movies rural,Hindi
STAR Gold,5891,HFF-WAR,1,18,hindi movies urban,Hindi
STAR Gold,4654,HFF-HOUSEFULL 4,2,18,hindi movies urban,Hindi
Zee Cinema,3379,HFF-K3 KAALI KA KARISHMA,3,18,hindi movies urban,Hindi
STAR Gold,2998,HFF-TOTAL DHAMAAL,4,18,hindi movies urban,Hindi
Sony MAX,2883,HFF-DJ,5,18,hindi movies urban,Hindi
STAR Gold,8844,HFF-WAR,1,18,hindi movies,Hindi
STAR Gold,6933,HFF-HOUSEFULL 4,2,18,hindi movies,Hindi
Zee Cinema,5737,HFF-K3 KAALI KA KARISHMA,3,18,hindi movies,Hindi
STAR Gold,5020,HFF-TOTAL DHAMAAL,4,18,hindi movies,Hindi
Sony MAX,4703,HFF-DJ,5,18,hindi movies,Hindi
Udaya TV,4565,KFF-BIGIL,5,18,kanada,Kanada
Udaya TV,4149,WTP-KFF-RANGASTHALA,2,18,kanada,Kanada
Zee Kannada,3133,KFF-MILANA,3,18,kanada,Kanada
Udaya TV,3103,KFF-JAGGU DADA,4,18,kanada,Kanada
Zee Kannada,2705,GATTIMELA,5,18,kanada,Kanada
NICK,1542,HFF-MOTU PATLU IN THE GAME OF ZONES,1,18,kids,Kids
NICK,1502,HFF-MOTU PATLU 36 GHANTEY RACE AGAINST TIME,2,18,kids,Kids
Pogo TV,1405,CHHOTA BHEEM & KRISHNA IN THE RISE OF KIRMADA,3,18,kids,Kids
Pogo TV,1308,HFF-CHHOTA BHEEM & KRISHNA IN PATALIPUTR CITY OF THE DEAD,4,18,kids,Kids
NICK,1225,MOTU PATLU SPORTS CHAMP,5,18,kids,Kids
Asianet,4519,WTP-MLFF-FORENSIC,1,18,malayalam,Malayalam
Asianet,1758,MLFF-PAAPAM CHEYYATHAVAR KALLERIYATTE,2,18,malayalam,Malayalam
Asianet,1631,MLFF-THENMAVIN KOMBATH,3,18,malayalam,Malayalam
Asianet,1584,MLFF-DHAMAKA,4,18,malayalam,Malayalam
Surya TV,1416,MLFF-GEORGETTANS POORAM,5,18,malayalam,Malayalam
DD Sahyadri,1376,BATMYA,1,18,marathi,Marathi
Zee Marathi,1008,CHALA HAVA YEUN DYA CELEBRITY PATTERN,2,18,marathi,Marathi
Zee Marathi,894,ZEE CHITRA GAURAV PURASKAR 2015,3,18,marathi,Marathi
Sony Marathi,752,WTP-MRFF-GIRLS,4,18,marathi,Marathi
STAR Pravah,722,MRFF-FARZAND,5,18,marathi,Marathi
Tarang,1161,ORF-MR MAJNU,1,18,oriya,Oriya
Zee Sarthak,1077,SINDURA BINDU,2,18,oriya,Oriya
Zee Sarthak,919,TO AGANAR TULASHI MU,3,18,oriya,Oriya
Zee Sarthak,836,PARI,4,18,oriya,Oriya
Zee Sarthak,816,MANINI,5,18,oriya,Oriya
PTC Punjabi,761,AMRIT DHARA,1,18,punjabi,Punjabi
Zee Punjabi,383,TU PATANG MAI DOR,2,18,punjabi,Punjabi
Zee Punjabi,354,KHASMA NU KHANI,3,18,punjabi,Punjabi
Zee Punjabi,265,KAMLI ISHQ DI,4,18,punjabi,Punjabi
Zee Punjabi,264,HEER RANJHA,5,18,punjabi,Punjabi
STAR Sports 1 Hindi,523,STAR SPORTS-13 7 ODI IND-AUS,1,18,sports,Sports
STAR Sports 1 Hindi,498,STAR SPORTS-13 6 ODI AUS-IND,2,18,sports,Sports
STAR Sports 1 Hindi,457,PAYTM-17 1 ODI IND-AUS,3,18,sports,Sports
STAR Sports 1 Hindi,420,PAYTM-19 2 T20 IND-BAN,4,18,sports,Sports
STAR Sports 1 Hindi,405,ICC WC T20-14 SF SA-IND,5,18,sports,Sports
Sun TV,11365,TFF-POOJAI,1,18,tamil,Tamil
Sun TV,9939,TFF-SANDAKOZHI 2,2,18,tamil,Tamil
Sun TV,8772,TFF-TIK TIK TIK (JAYAM RAVI),3,18,tamil,Tamil
Sun TV,6447,SUN SEITHIGAL,4,18,tamil,Tamil
Sun TV,5727,TFF-MUTHINA KATHIRIKA,5,18,tamil,Tamil
ETV Telugu,8056,ETV NEWS,1,18,telugu,Telugu
STAR Maa,7480,WTP-TEFF-90 ML,2,18,telugu,Telugu
STAR Maa,5870,KARTHIKA DEEPAM,3,18,telugu,Telugu
Gemini TV,5715,TEFF-SARAINODU,4,18,telugu,Telugu
ETV Telugu,5522,JABARDAST EXTRA DOSE,5,18,telugu,Telugu
